s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard1.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard10.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard100.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard101.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard102.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard103.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard104.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard105.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard106.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard107.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard108.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard109.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard11.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard110.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard111.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard112.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard113.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard114.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard115.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard116.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard117.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard118.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard119.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard12.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard120.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard121.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard122.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard123.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard124.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard125.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard126.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard127.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard128.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard129.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard13.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard130.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard131.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard132.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard133.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard134.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard135.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard136.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard137.jpg,cardboard
s3://garbagenet-bucket-29032023/Garbage Dataset/cardboard/cardboard138.jpg,cardboard
